,score,studio,number_episodes,demographics,emission_type,month,members,action,comedy,ecchi,slice_of_life,sports,drama and romance,adventure and fantasy,mystery and horror,sci_fi and supernatural,Cluster
375,8.18,otros_estudios,1.0,kids,movie,11.0,20530.0,0,1,0,0,0,0,0,0,1,0
377,8.17,otros_estudios,26.0,shounen,tv,4.0,76102.0,0,0,0,1,0,0,1,0,1,0
378,8.17,madhouse,12.0,seinen,tv,10.0,492350.0,1,0,0,0,0,0,0,0,0,0
379,8.17,tms_entertainment,17.649098474341194,shounen,tv,4.0,332352.0,0,1,0,0,0,0,1,1,0,0
380,8.17,tms_entertainment,1.0,shounen,movie,4.0,38960.0,1,0,0,0,0,0,0,1,0,0
382,8.17,tms_entertainment,11.0,shounen,tv,1.0,945994.0,0,1,0,0,0,0,1,0,1,2
385,8.16,tokyo_movie_shinsha,1.0,seinen,movie,7.0,796077.0,1,0,0,0,0,0,1,1,2,2
386,8.16,madhouse,70.0,shoujo,tv,4.0,417898.0,0,1,0,0,0,2,2,0,0,0
388,8.16,toei_animation,1.0,shounen,movie,12.0,367587.0,1,0,0,0,0,0,2,0,0,0
389,8.16,toei_animation,291.0,shounen,tv,4.0,1169015.0,1,1,0,0,0,0,2,0,0,2
391,8.16,otros_estudios,24.0,seinen,tv,4.0,171681.0,1,0,0,0,0,1,0,0,0,0
392,8.16,otros_estudios,13.0,seinen,tv,10.0,200352.0,1,0,0,0,0,1,0,0,0,0
394,8.16,bones,13.0,shounen,tv,10.0,1394708.0,1,0,0,0,0,0,1,0,0,2
395,8.16,bones,26.0,shoujo,tv,4.0,1074749.0,0,1,0,0,0,1,0,0,0,2
396,8.16,j_c_staff,24.0,shounen,tv,4.0,1576184.0,0,0,1,0,0,0,0,0,0,2
398,8.16,production_i_g,11.0,shounen,tv,10.0,381176.0,0,0,0,0,0,0,0,1,0,0
399,8.15,a_1_pictures,1.0,seinen,special,3.0,99550.0,0,1,0,0,0,1,0,0,0,0
403,8.15,tms_entertainment,1.0,shoujo,ova,12.0,60824.0,0,1,0,0,0,1,1,0,0,0
405,8.15,tokyo_movie_shinsha,1.0,seinen,movie,12.0,110459.0,1,1,0,0,0,0,1,1,0,0
406,8.15,synergysp,1.0,shounen,ova,12.0,29587.0,0,0,0,0,1,0,0,0,0,0
408,8.14,otros_estudios,24.0,seinen,tv,4.0,41820.0,1,1,0,0,0,0,1,1,0,0
409,8.14,otros_estudios,1.0,shoujo,movie,1.0,32037.0,0,0,0,1,0,1,0,0,1,0
411,8.14,j_c_staff,11.0,josei,tv,10.0,121285.0,0,1,0,0,0,1,0,0,0,0
412,8.14,otros_estudios,1.0,seinen,ova,3.0,16808.0,0,0,0,1,0,0,0,0,0,0
