,score,studio,number_episodes,demographics,emission_type,month,members,action,comedy,ecchi,slice_of_life,sports,drama and romance,adventure and fantasy,mystery and horror,sci_fi and supernatural,Cluster
4259,6.94,otros_estudios,1.0,seinen,ova,1.0,23071.0,1,1,1,0,0,0,0,0,1,1
4260,6.94,shaft,25.0,seinen,tv,10.0,74154.0,0,1,0,0,0,1,1,0,0,1
4265,6.94,olm,1.0,kids,movie,12.0,6036.0,0,1,0,0,0,0,0,0,1,1
4266,6.94,tms_entertainment,36.0,shoujo,tv,5.0,4290.0,0,0,0,0,0,1,2,0,0,0
4269,6.93,toei_animation,38.0,shounen,tv,10.0,21225.0,1,0,0,0,1,1,0,0,0,0
4270,6.93,j_c_staff,12.0,shounen,tv,10.0,200066.0,1,0,0,0,0,0,1,0,1,0
4271,6.93,studio_deen,1.0,shounen,movie,1.0,7982.0,1,1,0,0,0,2,1,0,1,1
4278,6.93,otros_estudios,1.0,shounen,ova,10.0,131847.0,1,0,0,0,0,0,0,1,1,0
4279,6.93,pierrot,43.0,shounen,tv,12.0,6256.0,1,0,0,0,0,0,2,0,0,0
4283,6.93,studio_deen,13.0,shoujo,tv,10.0,116941.0,0,1,0,0,0,0,0,0,0,1
4287,6.93,otros_estudios,1.0,kids,movie,1.0,7634.0,0,0,0,0,0,0,0,0,1,0
4289,6.93,studio_deen,39.0,shoujo,tv,4.0,2878.0,0,1,0,0,0,0,1,0,0,1
4290,6.93,shin_ei_animation,13.0,kids,tv,10.0,13922.0,0,1,0,0,0,0,1,1,0,1
4291,6.93,xebec,12.0,shounen,tv,10.0,386179.0,0,0,1,0,1,0,0,0,0,0
4293,6.93,tokyo_movie_shinsha,1.0,seinen,special,7.0,7689.0,1,1,0,0,0,0,1,1,0,1
4296,6.93,studio_deen,1.0,seinen,ova,12.0,3406.0,0,1,0,0,0,2,0,0,0,1
4304,6.93,madhouse,26.0,shounen,tv,4.0,23173.0,0,1,0,0,0,1,1,0,0,1
4305,6.93,olm,2.0,kids,special,2.0,11482.0,1,1,0,0,0,0,1,0,0,1
4311,6.92,tms_entertainment,1.0,seinen,ova,7.0,4896.0,1,1,0,0,0,0,1,0,0,1
4313,6.92,otros_estudios,12.0,shounen,tv,4.0,52586.0,0,1,1,0,0,1,0,0,0,1
4314,6.92,olm,25.0,shounen,tv,7.0,908.0,1,0,0,0,0,1,0,0,0,0
4315,6.92,tatsunoko_production,13.0,shounen,tv,4.0,40717.0,0,1,0,1,0,0,1,0,0,1
4316,6.92,pierrot,1.0,shounen,movie,8.0,201349.0,1,0,0,0,0,0,2,0,0,0
4329,6.92,tokyo_movie_shinsha,104.0,shoujo,tv,12.0,9008.0,0,0,0,0,1,1,0,0,0,0
4336,6.92,shin_ei_animation,1.0,seinen,movie,4.0,5048.0,0,1,0,0,0,0,0,0,1,1
4337,6.92,olm,104.0,kids,tv,4.0,1210.0,1,1,0,0,0,0,2,0,0,0
4339,6.92,otros_estudios,1.0,seinen,ova,8.0,22438.0,1,0,0,0,0,2,0,0,1,0
4346,6.91,otros_estudios,3.0,seinen,ova,7.0,14383.0,1,0,0,0,0,1,2,1,0,0
4347,6.91,tokyo_movie_shinsha,1.0,shoujo,movie,9.0,4196.0,0,0,0,0,1,2,0,0,0,0
4355,6.91,otros_estudios,52.0,shounen,tv,4.0,2554.0,0,0,0,0,0,0,1,0,1,0
4356,6.91,shin_ei_animation,1.0,kids,movie,3.0,4685.0,0,1,0,0,0,0,2,0,0,1
4361,6.91,gonzo,1.0,seinen,special,8.0,32003.0,1,0,0,0,0,0,0,0,1,0
4362,6.91,toei_animation,1.0,shounen,movie,8.0,2123.0,0,0,0,0,0,0,0,1,0,0
4364,6.91,otros_estudios,12.0,shoujo,tv,1.0,10712.0,0,0,0,0,0,2,1,0,0,0
4365,6.91,brain_base,12.0,shounen,tv,1.0,438260.0,0,0,0,0,0,1,0,1,1,0
4371,6.91,tms_entertainment,1.0,seinen,special,2.0,7456.0,1,1,0,0,0,0,1,0,0,1
4376,6.91,shin_ei_animation,694.0,shounen,tv,9.0,10592.0,0,1,0,1,0,0,0,0,0,2
4379,6.91,xebec,56.0,shounen,tv,3.0,37840.0,1,1,0,0,0,0,1,0,1,1
4380,6.91,otros_estudios,4.0,josei,special,11.0,18361.0,0,1,0,0,0,0,0,0,0,1
4392,6.9,j_c_staff,1.0,seinen,special,12.0,17746.0,0,1,1,0,0,2,0,0,0,1
4395,6.9,mappa,2.0,shounen,ova,3.0,8230.0,0,0,0,0,1,0,0,0,0,0
4398,6.9,otros_estudios,258.0,kids,tv,4.0,10663.0,0,0,0,0,0,0,0,0,1,0
4399,6.9,otros_estudios,2.0,shoujo,ova,7.0,32130.0,0,1,0,0,0,0,0,0,0,1
4404,6.9,otros_estudios,12.0,josei,tv,1.0,152237.0,1,0,0,0,0,1,0,0,0,0
4405,6.9,production_i_g,12.0,seinen,ona,5.0,9287.0,1,0,0,0,0,0,0,1,1,0
4409,6.9,otros_estudios,1.0,seinen,special,12.0,6572.0,0,1,1,0,0,1,0,0,1,1
4411,6.9,studio_deen,12.0,shounen,tv,7.0,24920.0,0,0,0,0,0,0,0,1,1,0
4412,6.9,toei_animation,1.0,kids,movie,3.0,4145.0,0,0,0,0,0,0,2,0,0,0
4417,6.9,madhouse,12.0,shoujo,tv,1.0,170941.0,0,0,0,0,1,0,0,0,0,0
4419,6.9,gonzo,13.0,shounen,tv,10.0,406099.0,0,1,1,0,0,1,1,0,0,0
4420,6.9,studio_deen,26.0,shounen,tv,7.0,55049.0,0,1,0,0,0,0,1,0,1,1
4425,6.89,otros_estudios,2.0,seinen,ova,11.0,89590.0,0,1,1,0,0,0,0,0,0,1
4427,6.89,brain_base,25.0,shounen,tv,4.0,86373.0,0,1,0,0,0,0,0,0,1,1
4428,6.89,tms_entertainment,6.0,shounen,tv,4.0,12069.0,0,0,0,1,0,0,0,1,0,0
4431,6.89,otros_estudios,3.0,seinen,ova,2.0,13180.0,0,1,0,0,0,0,0,0,0,1
4432,6.89,j_c_staff,6.0,shounen,ova,10.0,10749.0,0,1,0,0,0,0,0,0,1,1
4433,6.89,olm,1.0,kids,movie,7.0,149300.0,0,1,0,0,0,1,2,0,0,1
4434,6.89,toei_animation,1.0,shoujo,ova,11.0,2558.0,0,0,0,0,0,0,1,0,0,0
4436,6.89,brain_base,12.0,josei,tv,7.0,273282.0,1,0,0,0,0,0,0,0,1,0
4437,6.89,otros_estudios,52.0,shounen,tv,4.0,246151.0,0,1,0,0,0,0,1,0,1,0
4443,6.89,toei_animation,1.0,shounen,movie,3.0,51007.0,0,1,0,0,0,0,2,0,0,1
4448,6.89,xebec,51.0,kids,tv,1.0,10785.0,0,0,0,0,0,0,1,0,0,0
4451,6.89,otros_estudios,12.0,shounen,tv,4.0,364640.0,1,1,1,0,0,0,0,0,0,0
4452,6.89,shin_ei_animation,1.0,seinen,movie,4.0,2907.0,0,1,0,0,0,0,1,0,1,1
4459,6.89,sunrise,1.0,seinen,movie,10.0,72802.0,1,0,0,0,0,0,0,1,1,0
4462,6.89,otros_estudios,1.0,shounen,ova,9.0,63147.0,0,1,0,0,0,0,0,0,1,1
4463,6.88,studio_deen,13.0,josei,tv,4.0,56844.0,1,0,0,0,0,0,1,1,0,0
4469,6.88,shin_ei_animation,1.0,seinen,movie,4.0,4573.0,0,1,0,0,0,0,0,0,0,1
4477,6.88,otros_estudios,52.0,shoujo,tv,4.0,4121.0,0,0,0,0,0,0,1,0,0,0
4480,6.88,otros_estudios,3.0,seinen,ova,1.0,4345.0,1,0,0,0,0,0,0,0,0,0
4483,6.88,tokyo_movie_shinsha,1.0,seinen,special,7.0,6610.0,1,1,0,0,0,0,1,1,0,1
4489,6.88,olm,1.0,kids,movie,7.0,87506.0,1,0,0,0,0,0,2,0,0,0
4498,6.88,otros_estudios,6.0,shounen,ona,6.0,38600.0,1,0,0,0,0,0,1,0,1,0
4501,6.88,madhouse,24.0,seinen,tv,4.0,183698.0,1,1,1,0,0,0,0,0,0,1
4505,6.88,studio_deen,13.0,shoujo,tv,4.0,584041.0,0,0,0,0,0,2,0,1,1,0
4510,6.88,otros_estudios,12.0,seinen,tv,4.0,294069.0,0,0,0,0,0,2,0,0,0,0
4512,6.87,toei_animation,1.0,shoujo,movie,10.0,1926.0,1,0,0,0,0,0,1,0,0,0
4515,6.87,studio_deen,32.0,shounen,tv,7.0,2111.0,0,1,0,0,0,0,0,0,0,1
4517,6.87,bones,1.0,shounen,special,12.0,6773.0,1,0,0,0,0,0,1,1,0,0
4518,6.87,nippon_animation,30.0,kids,tv,10.0,2891.0,0,0,0,1,0,1,0,0,0,0
4521,6.87,gallop,73.0,shounen,tv,10.0,38205.0,1,0,0,0,0,0,1,0,0,0
4523,6.87,toei_animation,1.0,shoujo,movie,3.0,5474.0,0,0,0,0,0,1,1,0,0,0
4524,6.87,otros_estudios,1.0,kids,movie,1.0,13882.0,0,0,0,0,0,1,1,0,0,0
4525,6.87,toei_animation,26.0,shounen,tv,4.0,6230.0,1,0,0,0,0,0,1,0,1,0
4527,6.87,a_1_pictures,24.0,shounen,tv,4.0,151423.0,0,1,0,0,0,1,0,0,0,1
4531,6.87,shin_ei_animation,1.0,kids,movie,3.0,2484.0,0,1,0,0,0,0,1,0,0,1
4537,6.87,nippon_animation,1.0,shoujo,movie,10.0,12654.0,0,1,0,0,0,1,0,0,0,1
4546,6.87,otros_estudios,20.0,kids,tv,4.0,546.0,0,0,0,0,0,0,0,0,0,0
4547,6.87,shaft,6.0,shounen,ova,5.0,29170.0,0,1,0,0,0,0,0,0,1,1
4548,6.87,sunrise,23.0,shounen,tv,3.0,9172.0,0,1,0,0,0,0,0,0,1,1
4550,6.87,madhouse,12.0,seinen,tv,10.0,94591.0,1,0,0,0,0,2,0,1,1,0
4552,6.87,otros_estudios,1.0,seinen,special,1.0,6473.0,0,1,1,0,0,0,0,0,0,1
4553,6.87,tms_entertainment,1.0,seinen,special,11.0,4545.0,1,1,0,0,0,0,1,1,0,1
4555,6.87,toei_animation,1.0,shounen,movie,1.0,8147.0,1,1,0,0,0,0,0,0,1,1
4556,6.87,pierrot,1.0,shounen,movie,8.0,226645.0,1,0,0,0,0,0,2,0,0,0
4557,6.87,shin_ei_animation,136.0,seinen,tv,10.0,3641.0,0,1,0,1,0,0,0,0,0,0
4558,6.87,toei_animation,1.0,shounen,movie,3.0,80537.0,1,0,0,0,0,0,2,0,0,0
4559,6.87,nippon_animation,28.0,shounen,tv,9.0,1637.0,1,0,0,0,1,0,0,0,0,0
4560,6.87,otros_estudios,3.0,kids,movie,10.0,1686.0,0,0,0,0,0,0,1,0,0,0
4561,6.87,olm,16.0,kids,tv,12.0,30733.0,0,1,0,0,0,0,2,0,0,1
4562,6.87,olm,146.0,kids,tv,11.0,105376.0,1,0,0,0,0,0,1,0,0,0
4573,6.86,tatsunoko_production,51.0,kids,tv,4.0,87509.0,0,1,0,0,1,0,1,0,0,1
4575,6.86,otros_estudios,1.0,seinen,special,12.0,59061.0,0,1,1,0,0,0,0,0,0,1
4576,6.86,pierrot,1.0,shounen,special,8.0,75541.0,1,1,0,0,0,0,1,0,0,1
4578,6.86,madhouse,12.0,seinen,tv,10.0,184864.0,1,0,0,0,0,1,0,0,1,0
4583,6.86,toei_animation,1.0,shounen,movie,3.0,16934.0,0,0,0,0,0,0,1,0,1,0
4598,6.86,otros_estudios,12.0,seinen,tv,4.0,378925.0,0,1,1,0,0,1,0,0,0,0
4599,6.86,toei_animation,10.0,seinen,tv,6.0,20902.0,0,1,0,1,0,1,0,0,0,1
4607,6.86,tokyo_movie_shinsha,3.0,shoujo,ova,12.0,2448.0,0,0,0,0,0,1,0,0,0,0
4608,6.86,otros_estudios,13.0,seinen,tv,4.0,327348.0,0,0,0,0,0,1,0,1,1,0
4612,6.86,otros_estudios,1.0,seinen,ova,6.0,25715.0,0,1,0,0,0,1,0,0,1,1
4615,6.86,tokyo_movie_shinsha,64.0,seinen,tv,10.0,1258.0,0,1,0,0,0,1,0,0,0,1
4616,6.86,tms_entertainment,12.0,shounen,tv,7.0,372558.0,0,1,0,0,0,1,0,0,0,0
4617,6.85,otros_estudios,12.0,shoujo,tv,4.0,321386.0,0,0,0,0,0,1,0,0,0,0
4619,6.85,synergysp,75.0,shoujo,tv,10.0,18959.0,0,0,0,0,0,0,1,0,1,0
4620,6.85,pierrot,26.0,shoujo,tv,5.0,13898.0,1,1,0,0,0,0,0,1,0,1
4627,6.85,pierrot,23.0,kids,tv,10.0,9201.0,0,0,0,0,1,0,0,0,0,0
4628,6.85,lidenfilms,13.0,seinen,tv,7.0,152397.0,0,0,0,0,1,0,0,0,0,0
4630,6.85,madhouse,4.0,shounen,ova,6.0,26720.0,0,1,1,0,0,1,0,0,0,1
4631,6.85,tms_entertainment,13.0,shounen,tv,7.0,259070.0,0,1,0,0,0,1,1,0,0,1
4634,6.85,otros_estudios,11.0,josei,special,6.0,9772.0,0,1,0,0,0,0,0,0,0,1
4635,6.85,gallop,1.0,kids,special,6.0,1603.0,0,0,0,0,0,0,1,0,0,0
4636,6.85,otros_estudios,1.0,shoujo,ova,11.0,14587.0,0,0,0,0,0,2,0,0,0,0
4640,6.85,otros_estudios,1.0,seinen,ova,5.0,5337.0,0,1,0,0,0,2,0,0,0,1
4641,6.85,toei_animation,72.0,shoujo,tv,4.0,3355.0,0,0,0,0,0,0,0,0,0,0
4644,6.85,olm,1.0,kids,movie,7.0,70804.0,1,0,0,0,0,0,2,0,0,0
4645,6.85,toei_animation,1.0,shoujo,special,11.0,3998.0,1,0,0,0,0,0,1,0,0,0
4653,6.85,otros_estudios,22.0,seinen,tv,10.0,65688.0,1,1,0,0,0,1,0,0,0,1
4661,6.84,group_tac,1.0,shounen,special,2.0,3325.0,0,0,0,0,1,1,0,0,0,0
4662,6.84,bones,1.0,shounen,special,1.0,18422.0,1,0,0,0,0,0,1,1,0,0
4664,6.84,tms_entertainment,13.0,seinen,tv,4.0,132474.0,1,0,0,0,0,2,0,1,2,0
4665,6.84,tokyo_movie_shinsha,12.0,shoujo,ova,10.0,2334.0,0,0,0,0,1,1,0,0,0,0
4667,6.84,otros_estudios,1.0,shounen,movie,7.0,5963.0,0,0,0,0,1,0,0,0,0,0
4670,6.84,otros_estudios,4.0,shounen,ova,8.0,5500.0,1,0,0,0,0,0,1,0,1,0
4671,6.84,toei_animation,44.0,shounen,tv,4.0,2468.0,0,0,0,0,0,0,1,0,1,0
4673,6.84,otros_estudios,12.0,seinen,tv,4.0,255007.0,1,0,0,0,0,2,0,0,1,0
4676,6.84,toei_animation,1.0,shounen,movie,7.0,117866.0,1,1,0,0,0,0,2,0,1,1
4677,6.84,toei_animation,1.0,shounen,special,9.0,50311.0,1,1,0,0,0,0,2,0,0,1
4683,6.84,otros_estudios,51.0,shoujo,tv,4.0,2278.0,0,0,0,0,0,0,0,0,0,0
4686,6.84,tms_entertainment,25.0,seinen,tv,4.0,3658.0,1,1,0,0,0,0,0,0,0,1
4688,6.84,gonzo,12.0,shounen,tv,7.0,147271.0,0,0,0,0,0,2,0,0,0,0
4689,6.84,otros_estudios,12.0,seinen,ova,12.0,318296.0,0,1,1,0,0,1,0,0,0,0
4691,6.84,j_c_staff,12.0,shounen,tv,7.0,72134.0,0,1,1,0,0,0,1,0,0,1
4693,6.84,otros_estudios,39.0,kids,tv,1.0,8414.0,0,1,0,0,0,0,0,0,0,1
4694,6.84,madhouse,12.0,josei,tv,10.0,60885.0,0,0,0,0,0,2,1,0,0,0
4695,6.84,otros_estudios,12.0,shounen,tv,1.0,235481.0,1,1,1,0,0,1,0,0,1,1
4696,6.84,otros_estudios,1.0,shoujo,ova,9.0,22024.0,0,1,0,0,0,2,1,0,0,1
4709,6.83,otros_estudios,13.0,shoujo,tv,7.0,11437.0,0,1,0,0,0,2,2,0,1,1
4711,6.83,toei_animation,1.0,shounen,movie,12.0,23331.0,1,0,0,0,0,0,2,0,0,0
4713,6.83,olm,1.0,kids,movie,5.0,9758.0,0,1,0,0,0,0,2,0,0,1
4714,6.83,olm,1.0,kids,special,12.0,23539.0,1,1,0,0,0,0,2,0,0,1
4718,6.83,otros_estudios,10.0,shoujo,special,12.0,56674.0,0,0,0,0,0,1,0,0,0,0
4727,6.83,otros_estudios,11.0,shounen,tv,7.0,136164.0,1,0,0,0,0,0,0,1,1,0
4729,6.83,otros_estudios,25.0,josei,tv,4.0,170275.0,0,1,0,0,0,1,0,0,0,1
4732,6.83,otros_estudios,2.0,shounen,ova,4.0,4322.0,1,0,0,0,0,0,1,0,1,0
4734,6.83,otros_estudios,12.0,shounen,tv,1.0,160563.0,0,1,0,0,0,0,0,0,0,1
4737,6.83,toei_animation,1.0,shounen,movie,7.0,55120.0,1,1,0,0,0,0,2,0,1,1
4739,6.83,studio_deen,10.0,seinen,tv,1.0,5745.0,1,0,0,0,0,0,0,0,1,0
4743,6.83,madhouse,1.0,shounen,special,9.0,18770.0,0,0,1,0,0,1,0,0,0,0
4745,6.83,otros_estudios,26.0,shounen,tv,10.0,26563.0,1,0,0,0,0,0,1,0,0,0
4746,6.83,otros_estudios,12.0,seinen,tv,4.0,82024.0,1,1,0,0,0,0,1,0,0,1
4748,6.82,nippon_animation,26.0,kids,tv,1.0,5094.0,0,0,0,0,0,1,1,0,0,0
4751,6.82,otros_estudios,13.0,seinen,tv,7.0,66927.0,1,0,0,0,0,0,1,0,1,0
4755,6.82,pierrot,4.0,shoujo,ova,12.0,17535.0,0,0,0,0,0,2,2,0,0,0
4760,6.82,madhouse,3.0,shoujo,ova,7.0,10533.0,1,0,0,0,0,2,0,0,1,0
4762,6.82,madhouse,1.0,shounen,special,12.0,18496.0,0,1,1,0,0,1,0,0,0,1
4763,6.82,bones,1.0,shounen,special,6.0,39377.0,1,0,0,0,0,0,1,0,0,0
4766,6.82,sunrise,1.0,seinen,special,12.0,8976.0,1,0,0,0,0,0,0,0,0,0
4774,6.82,otros_estudios,13.0,seinen,tv,4.0,29380.0,0,1,0,1,0,0,0,0,0,1
4785,6.82,otros_estudios,1.0,shoujo,movie,2.0,5733.0,0,0,0,0,0,2,1,0,0,0
4792,6.81,j_c_staff,1.0,shoujo,special,3.0,15150.0,0,0,0,0,0,1,0,0,0,0
4794,6.81,olm,1.0,kids,movie,12.0,2051.0,0,0,0,0,0,0,0,0,1,0
4795,6.81,otros_estudios,12.0,shounen,tv,7.0,147149.0,0,0,0,0,0,1,1,0,0,0
4797,6.81,madhouse,6.0,seinen,special,4.0,9787.0,0,0,0,1,0,0,0,0,0,0
4798,6.81,production_i_g,12.0,seinen,tv,4.0,30242.0,1,0,0,0,0,0,0,0,1,0
4801,6.81,bones,2.0,shounen,ona,6.0,36226.0,0,0,0,0,1,0,0,0,0,0
4802,6.81,otros_estudios,1.0,shounen,ova,12.0,4768.0,0,0,0,0,1,0,0,0,0,0
4803,6.81,otros_estudios,1.0,shounen,movie,7.0,5097.0,0,0,0,0,1,0,0,0,0,0
4808,6.81,otros_estudios,1.0,shounen,ova,8.0,18357.0,0,0,0,0,1,0,0,0,0,0
4809,6.81,otros_estudios,50.0,shoujo,tv,2.0,2925.0,0,0,0,0,0,0,2,0,0,0
4811,6.81,bones,26.0,shounen,tv,4.0,39719.0,1,0,0,0,0,0,0,0,1,0
4814,6.81,otros_estudios,52.0,shoujo,tv,4.0,11846.0,0,0,0,0,0,0,1,0,0,0
4815,6.81,toei_animation,1.0,shounen,movie,3.0,2269.0,0,1,0,0,0,0,1,1,1,1
4817,6.81,otros_estudios,12.0,shounen,tv,10.0,68858.0,0,0,0,0,0,2,0,0,1,0
4818,6.81,otros_estudios,12.0,shounen,tv,7.0,237443.0,0,0,1,0,0,0,1,0,0,0
4819,6.81,gallop,331.0,kids,tv,3.0,5545.0,0,1,0,1,0,1,0,0,0,0
4821,6.81,tokyo_movie_shinsha,1.0,seinen,special,4.0,8049.0,1,1,0,0,0,0,1,1,0,1
4822,6.81,toei_animation,109.0,shoujo,tv,12.0,4110.0,0,0,0,0,0,0,1,0,0,0
4826,6.81,olm,1.0,kids,movie,7.0,34373.0,0,1,0,0,0,0,1,0,0,1
4828,6.81,studio_deen,1.0,seinen,special,9.0,83470.0,0,1,0,0,0,0,0,0,0,1
4833,6.8,tms_entertainment,12.0,shounen,tv,10.0,9685.0,0,1,0,0,0,0,0,1,0,1
4837,6.8,otros_estudios,13.0,shoujo,tv,4.0,36850.0,0,1,0,0,0,1,1,0,0,1
4838,6.8,toei_animation,1.0,shounen,special,8.0,5164.0,1,0,0,0,0,0,2,0,0,0
4839,6.8,otros_estudios,1.0,shoujo,special,12.0,16824.0,0,1,0,0,0,1,0,0,0,1
4846,6.8,production_i_g,1.0,shounen,special,3.0,6804.0,0,0,0,0,1,0,0,0,0,0
4849,6.8,otros_estudios,12.0,shoujo,tv,4.0,10144.0,0,0,0,0,0,1,1,0,1,0
4853,6.8,pierrot,1.0,shounen,movie,7.0,30655.0,1,1,0,0,0,0,1,0,1,1
4859,6.8,otros_estudios,1.0,shounen,ova,11.0,47428.0,1,0,0,0,0,0,0,0,0,0
4863,6.8,shin_ei_animation,1.0,seinen,movie,4.0,3687.0,0,1,0,0,0,0,0,0,1,1
4864,6.8,shin_ei_animation,1.0,seinen,movie,4.0,2237.0,0,1,0,0,0,0,0,0,0,1
4865,6.8,shin_ei_animation,1.0,seinen,movie,4.0,2048.0,0,1,0,0,0,0,0,0,0,1
4871,6.8,otros_estudios,12.0,seinen,tv,1.0,315832.0,1,0,1,0,0,2,0,0,1,0
4874,6.8,toei_animation,94.0,shoujo,tv,1.0,3122.0,0,0,0,0,0,0,0,0,0,0
4877,6.8,madhouse,1.0,shounen,ova,12.0,9135.0,1,1,1,0,0,0,0,0,0,1
4880,6.79,toei_animation,42.0,shoujo,tv,3.0,8314.0,0,1,0,0,0,1,0,0,0,1
4885,6.79,shin_ei_animation,1.0,seinen,movie,4.0,4705.0,0,1,1,1,0,0,0,0,0,1
4887,6.79,otros_estudios,26.0,shounen,tv,4.0,21492.0,0,0,0,0,1,1,0,0,0,0
4888,6.79,otros_estudios,1.0,shounen,special,3.0,25847.0,0,1,1,0,0,1,0,0,1,1
4889,6.79,tms_entertainment,1.0,shounen,special,4.0,1074.0,0,1,0,0,0,1,1,1,0,1
4890,6.79,toei_animation,1.0,shounen,movie,3.0,122416.0,1,1,0,0,0,0,2,0,1,1
4894,6.79,otros_estudios,12.0,shounen,tv,7.0,283007.0,0,0,0,0,0,1,0,1,0,0
4896,6.79,toei_animation,296.0,kids,tv,10.0,2243.0,0,1,0,0,0,0,0,0,0,0
4901,6.79,sunrise,1.0,shounen,special,3.0,1887.0,1,1,0,0,0,0,1,0,1,1
4903,6.79,shaft,12.0,seinen,tv,1.0,77997.0,0,1,0,1,0,0,0,0,0,1
4904,6.79,tms_entertainment,1.0,seinen,special,1.0,6108.0,1,1,0,0,0,0,1,1,0,1
4905,6.79,tms_entertainment,1.0,seinen,special,7.0,5985.0,1,1,0,0,0,0,1,1,0,1
4908,6.8,tms_entertainment,12.0,shounen,tv,10.0,9685.0,0,1,0,0,0,0,0,1,0,1
4910,6.79,pierrot,1.0,shounen,special,10.0,51311.0,1,0,0,0,0,0,1,0,0,0
4915,6.79,xebec,26.0,shounen,tv,4.0,6179.0,1,0,0,0,0,0,1,0,1,0
4916,6.79,toei_animation,1.0,shounen,movie,7.0,18704.0,0,0,0,0,0,0,1,0,1,0
4920,6.79,otros_estudios,40.0,shoujo,tv,6.0,711.0,0,0,0,0,0,0,1,0,0,0
4925,6.79,otros_estudios,12.0,shounen,tv,10.0,151905.0,1,1,0,0,0,0,0,0,1,1
4934,6.78,j_c_staff,1.0,seinen,ova,1.0,33927.0,1,0,0,0,0,0,1,0,1,0
4944,6.78,madhouse,1.0,josei,special,1.0,8992.0,0,0,0,0,1,1,0,0,0,0
4947,6.78,otros_estudios,51.0,shoujo,tv,3.0,4447.0,0,1,0,0,0,1,1,0,0,1
4955,6.78,pierrot,6.0,shoujo,ova,11.0,10048.0,0,0,0,1,0,0,0,0,0,0
4956,6.78,otros_estudios,2.0,shounen,ova,1.0,4623.0,1,0,0,0,0,0,0,0,0,0
4958,6.78,lidenfilms,1.0,shoujo,ova,11.0,5855.0,0,0,0,0,0,0,1,1,0,0
4960,6.78,nippon_animation,127.0,kids,tv,4.0,875.0,0,0,0,0,0,0,1,0,1,0
4962,6.78,pierrot,1.0,shounen,ova,12.0,78299.0,1,0,0,0,0,0,0,0,0,0
4965,6.78,olm,1.0,kids,movie,7.0,84233.0,1,0,0,0,0,1,2,0,0,0
4970,6.78,otros_estudios,12.0,shounen,tv,7.0,5896.0,1,1,0,0,0,0,1,0,1,1
4975,6.77,tms_entertainment,1.0,seinen,special,11.0,4967.0,1,1,0,0,0,0,1,1,0,1
4977,6.77,nippon_animation,1.0,shounen,movie,4.0,2008.0,0,1,0,0,0,0,2,0,0,1
4981,6.77,toei_animation,1.0,kids,movie,3.0,1917.0,0,0,0,0,0,0,1,0,0,0
4982,6.77,tatsunoko_production,51.0,shoujo,special,7.0,3016.0,0,1,0,0,0,0,0,0,0,1
4984,6.77,otros_estudios,8.0,kids,ona,8.0,2764.0,0,0,0,0,0,0,0,0,0,0
4989,6.77,toei_animation,95.0,shounen,tv,7.0,3227.0,0,1,0,0,0,1,0,0,0,1
5002,6.77,toei_animation,1.0,shounen,movie,12.0,65048.0,1,1,0,0,0,0,2,0,0,1
5003,6.77,toei_animation,1.0,shounen,movie,3.0,126881.0,1,1,0,0,0,0,2,0,0,1
5006,6.77,toei_animation,51.0,shounen,tv,4.0,7673.0,1,0,0,0,0,0,0,0,1,0
5008,6.77,tokyo_movie_shinsha,1.0,seinen,movie,5.0,17645.0,1,0,0,0,0,1,1,0,0,0
5017,6.77,toei_animation,1.0,shounen,movie,7.0,2471.0,1,0,0,0,0,0,0,1,1,0
5019,6.76,olm,51.0,shoujo,tv,4.0,22187.0,0,1,0,0,0,1,1,0,0,1
5023,6.76,otros_estudios,1.0,kids,ova,2.0,1608.0,0,0,0,0,0,0,0,0,0,1
5026,6.76,madhouse,51.0,kids,tv,1.0,108575.0,1,1,0,0,1,0,1,0,0,1
5027,6.76,otros_estudios,13.0,kids,tv,7.0,68319.0,0,1,0,1,0,0,0,0,0,1
5028,6.76,otros_estudios,1.0,seinen,movie,3.0,10367.0,0,0,0,0,0,1,0,0,0,1
5029,6.76,lidenfilms,1.0,shounen,movie,9.0,6212.0,1,0,0,0,0,0,1,0,0,1
5037,6.76,toei_animation,1.0,shoujo,movie,4.0,6456.0,0,1,0,0,0,0,1,0,0,1
5038,6.76,pierrot,3.0,shoujo,special,6.0,4194.0,0,0,0,0,0,2,0,0,0,1
5039,6.76,otros_estudios,12.0,shounen,tv,4.0,23254.0,0,1,1,0,0,1,0,0,0,1
5041,6.76,otros_estudios,12.0,seinen,tv,3.0,19789.0,0,0,0,0,0,2,0,0,0,0
5050,6.76,j_c_staff,12.0,josei,tv,4.0,137366.0,1,0,0,0,0,1,0,1,1,0
5051,6.76,otros_estudios,1.0,shounen,ova,6.0,30892.0,0,0,0,0,0,0,0,0,0,0
5054,6.76,production_i_g,1.0,seinen,movie,10.0,4656.0,0,0,0,1,0,1,0,0,0,1
5055,6.76,pierrot,1.0,shounen,special,12.0,87838.0,1,0,0,0,0,0,2,0,0,0
5059,6.76,olm,1.0,kids,movie,7.0,9505.0,0,1,0,0,0,0,2,0,0,1
5062,6.76,toei_animation,1.0,shounen,movie,3.0,15902.0,0,0,0,0,0,0,1,0,1,0
5070,6.76,otros_estudios,2.0,seinen,special,4.0,3955.0,0,1,0,0,0,0,0,0,0,1
5073,6.76,madhouse,1.0,shounen,movie,8.0,7746.0,1,1,0,0,0,2,1,0,1,1
