,score
7856,6.22
245,8.3
7342,6.32
8408,6.11
8095,6.17
1408,7.59
10570,5.58
6478,6.49
2435,7.32
1720,7.5
10076,5.71
6878,6.41
12288,4.65
673,7.93
11934,4.99
4924,6.79
10236,5.68
12168,4.78
7131,6.37
11118,5.39
7847,6.22
3698,7.06
6752,6.44
4075,6.98
10744,5.53
5589,6.65
461,8.1
6310,6.52
9176,5.95
11138,5.39
5723,6.63
5623,6.65
2615,7.28
11898,5.02
4901,6.79
6436,6.5
14,8.99
8055,6.18
6695,6.45
3065,7.2
993,7.76
2201,7.37
11065,5.41
3746,7.06
6899,6.41
10705,5.54
4074,6.98
6479,6.49
10277,5.67
5562,6.66
9295,5.92
812,7.85
5144,6.74
3372,7.14
1383,7.6
4118,6.97
12020,4.91
8193,6.15
10401,5.63
11237,5.35
114,8.53
5263,6.72
11469,5.25
9876,5.77
2498,7.31
10825,5.5
10146,5.7
7223,6.35
8346,6.12
6499,6.48
2609,7.28
5042,6.76
10330,5.65
4436,6.89
6205,6.54
9869,5.77
4600,6.86
214,8.34
10622,5.56
10405,5.63
3035,7.2
4015,7.0
8762,6.04
5186,6.73
11199,5.36
10648,5.56
11646,5.17
11508,5.23
4693,6.84
9099,5.96
2167,7.38
4982,6.77
3017,7.2
736,7.9
4913,6.79
6027,6.57
3752,7.05
4397,6.9
4184,6.95
9502,5.87
5146,6.74
12291,4.65
1602,7.54
5494,6.67
31,8.8
10623,5.56
5665,6.64
9639,5.83
9867,5.77
4802,6.81
1482,7.57
1650,7.52
6631,6.46
1399,7.59
483,8.08
8116,6.17
2267,7.35
11541,5.22
11042,5.42
6921,6.4
9835,5.78
11349,5.31
1358,7.61
4111,6.97
5210,6.73
9403,5.89
5920,6.59
9287,5.92
11386,5.29
299,8.24
6462,6.49
11591,5.19
7019,6.39
5890,6.59
3647,7.08
668,7.94
11376,5.3
9859,5.77
1470,7.57
1783,7.48
10615,5.56
7060,6.38
303,8.24
2102,7.39
2998,7.21
4035,6.99
10666,5.55
11816,5.08
1593,7.54
9681,5.82
8165,6.15
1327,7.62
11568,5.2
11329,5.31
6112,6.55
8810,6.03
3571,7.1
9533,5.86
5945,6.58
8262,6.14
7553,6.28
5795,6.61
1068,7.73
8062,6.18
4419,6.9
2069,7.4
7453,6.3
12461,4.3
6931,6.4
10124,5.7
7113,6.37
7013,6.39
1701,7.5
3975,7.01
1665,7.52
6072,6.56
6022,6.57
7583,6.28
8743,6.04
12441,4.37
11461,5.25
5733,6.63
3445,7.12
11456,5.26
10967,5.45
2303,7.35
6338,6.52
1621,7.53
9380,5.9
4695,6.84
420,8.14
7770,6.24
1964,7.43
12472,4.23
1047,7.74
856,7.83
8251,6.14
10761,5.52
5935,6.59
6908,6.41
3794,7.05
3643,7.08
7132,6.36
12311,4.63
6681,6.45
2183,7.37
1139,7.71
7704,6.25
9744,5.8
5118,6.74
10607,5.57
7224,6.35
107,8.54
6758,6.44
4320,6.92
11721,5.12
11551,5.21
4342,6.92
5220,6.73
2531,7.3
1697,7.5
11054,5.42
10534,5.59
5687,6.64
217,8.33
3585,7.09
1355,7.61
1346,7.62
2470,7.31
7428,6.31
9304,5.92
510,8.06
700,7.92
169,8.41
4929,6.78
1713,7.5
573,8.01
39,8.75
7510,6.29
11089,5.4
7639,6.27
932,7.79
